Symbol: Au
Lattice_type: HexagonalClosedPacked
calculator: <asap.RGL object at 0x0x553ca0>
size: (28, 28, 28)
directions: []
miller: []
Lattice Constant Parameters: ['a', 'c']

Lattice Constant Results: 

Lattice constant (a,c)/Ang: Energy/eV
----------------------------------------------
(3.4, 3.7): -3.6025710454705417
(3.4, 3.8): -3.6195611170914708
(3.4, 3.9): -3.6166093441083684
(3.4, 4.0): -3.5967307776343986
(3.4, 4.1): -3.5626527368246688
(3.4, 4.2): -3.5168430596168414
(3.4, 4.3): -3.46153041371857
(3.4, 4.4): -3.3987200577879433
(3.4, 4.5): -3.3302071282808106
(3.4, 4.6): -3.257588674590607
(3.4, 4.7): -3.182275122987323
(3.4, 4.8): -3.10550151493508
(3.4, 4.9): -3.028338667355387
(3.4, 5.0): -2.9517042927730017
(3.4, 5.1): -2.8763740631156787
(3.4, 5.2): -2.802992579672488
(3.4, 5.3): -2.732084207965353
(3.4, 5.4): -2.6640637400477267
(3.4, 5.5): -2.5992468514013423
(3.4, 5.6): -2.537860321925172
(3.4, 5.7): -2.480051988665643
(3.4, 5.8): -2.4259003925972706
(3.4, 5.9): -2.3754240740116286
(3.4, 6.0): -2.3285904629871768
(3.5, 3.0): -2.9545409192150647
(3.5, 3.1): -3.1560799706414273
(3.5, 3.2): -3.310192227319775
(3.5, 3.3): -3.4246493362764534
(3.5, 3.4): -3.5054867806052745
(3.5, 3.5): -3.557561075630761
(3.5, 3.6): -3.584913347530639
(3.5, 3.7): -3.5910047099437206
(3.5, 3.8): -3.5788674575263
(3.5, 3.9): -3.5512015573578575
(3.5, 4.0): -3.5104360640905723
(3.5, 4.1): -3.4587684227692805
(3.5, 4.2): -3.3981901357450295
(3.5, 4.3): -3.3305042614811207
(3.5, 4.4): -3.2573382088344744
(3.5, 4.5): -3.180153966862712
(3.5, 4.6): -3.100257046768312
(3.5, 4.7): -3.0188048590106042
(3.5, 4.8): -2.936814902313221
(3.5, 4.9): -2.8551729327584026
(3.5, 5.0): -2.7746411626532685
(3.5, 5.1): -2.6958664781052195
(3.5, 5.2): -2.619388639123938
(3.5, 5.3): -2.54564842137914
(3.5, 5.4): -2.47499566428814
(3.5, 5.5): -2.4076971989404785
(3.5, 5.6): -2.3439446370760506
(3.5, 5.7): -2.283862006536712
(3.5, 5.8): -2.227513218148409
(3.5, 5.9): -2.174909344391483
(3.5, 6.0): -2.126015682333654
(3.6, 3.0): -3.2240121213876285
(3.6, 3.1): -3.359189270783757
(3.6, 3.2): -3.4554182808426064
(3.6, 3.3): -3.5196223061363243
(3.6, 3.4): -3.5570414457615573
(3.6, 3.5): -3.571790508009131
(3.6, 3.6): -3.567222321085106
(3.6, 3.7): -3.546162274936059
(3.6, 3.8): -3.511058267362931
(3.6, 3.9): -3.464075626667331
(3.6, 4.0): -3.407156697862446
(3.6, 4.1): -3.3420581050110667
(3.6, 4.2): -3.2703742109411644
(3.6, 4.3): -3.1935522857683076
(3.6, 4.4): -3.112902890145884
(3.6, 4.5): -3.0296076528718086
(3.6, 4.6): -2.9447257545535064
(3.6, 4.7): -2.859199869424631
(3.6, 4.8): -2.7738619642012607
(3.6, 4.9): -2.6894391369742956
(3.6, 5.0): -2.606559553686695
(3.6, 5.1): -2.525758472977246
(3.6, 5.2): -2.4474843204250596
(3.6, 5.3): -2.372104766029493
(3.6, 5.4): -2.2999127638188783
(3.6, 5.5): -2.231132523114206
(3.6, 5.6): -2.1659253925560065
