Symbol: Au
Lattice_type: HexagonalClosedPacked
calculator: <asap.RGL object at 0x0x553070>
size: (28, 28, 28)
directions: []
miller: []
Lattice Constant Parameters: ['a', 'c']

Lattice Constant Results: 

Lattice constant (a,c)/Ang: Energy/eV
----------------------------------------------
(2.802, 4.78): -3.807448187275306
(2.802, 4.781): -3.807534764247182
(2.802, 4.782): -3.807620181655611
(2.802, 4.783): -3.8077044423526316
(2.802, 4.784): -3.807787549189905
(2.802, 4.785): -3.8078695050140503
(2.802, 4.786): -3.807950312665321
(2.802, 4.787): -3.8080299749825834
(2.802, 4.788): -3.8081084947923456
(2.802, 4.789): -3.8081858749275996
(2.802, 4.79): -3.8082621182038925
(2.802, 4.791): -3.8083372274435114
(2.802, 4.792): -3.8084112054566153
(2.802, 4.793): -3.808484055050983
(2.802, 4.794): -3.808555779032055
(2.802, 4.795): -3.8086263801939264
(2.802, 4.796): -3.8086958613343085
(2.802, 4.797): -3.8087642252386003
(2.802, 4.798): -3.8088314746934224
(2.802, 4.799): -3.808897612478185
(2.802, 4.8): -3.808962641366189
(2.802, 4.801): -3.809026564128909
(2.803, 4.6): -3.7711228488044126
(2.803, 4.601): -3.7714665269986454
(2.803, 4.602): -3.7718084521553847
(2.803, 4.603): -3.7721486280817094
(2.803, 4.604): -3.7724870585761714
(2.803, 4.605): -3.7728237474320565
(2.803, 4.606): -3.773158698437316
(2.803, 4.607): -3.77349191537356
(2.803, 4.608): -3.7738234020165877
(2.803, 4.609): -3.7741531621365922
(2.803, 4.61): -3.7744811994998697
(2.803, 4.611): -3.7748075178629454
(2.803, 4.612): -3.775132120979867
(2.803, 4.613): -3.775455012597386
(2.803, 4.614): -3.775776196457513
(2.803, 4.615): -3.776095676294062
(2.803, 4.616): -3.776413455838372
(2.803, 4.617): -3.776729538814069
(2.803, 4.618): -3.7770439289406337
(2.803, 4.619): -3.777356629929283
(2.803, 4.62): -3.777667645488137
(2.803, 4.621): -3.777976979316806
(2.803, 4.622): -3.778284635111048
(2.803, 4.623): -3.77859061656141
(2.803, 4.624): -3.778894927352521
(2.803, 4.625): -3.7791975711595827
(2.803, 4.626): -3.7794985516594655
(2.803, 4.627): -3.7797978725165873
(2.803, 4.628): -3.780095537392399
(2.803, 4.629): -3.780391549943512
(2.803, 4.63): -3.7806859138189286
(2.803, 4.631): -3.780978632661607
(2.803, 4.632): -3.7812697101129484
(2.803, 4.633): -3.7815591498030585
(2.803, 4.634): -3.78184695536254
(2.803, 4.635): -3.782133130409892
(2.803, 4.636): -3.7824176785629278
(2.803, 4.637): -3.7827006034303943
(2.803, 4.638): -3.7829819086187806
(2.803, 4.639): -3.7832615977267507
(2.803, 4.64): -3.783539674346863
(2.803, 4.641): -3.7838161420686176
(2.803, 4.642): -3.7840910044733675
(2.803, 4.643): -3.7843642651373286
(2.803, 4.644): -3.784635927632296
(2.803, 4.645): -3.7849059955238653
(2.803, 4.646): -3.785174472371716
(2.803, 4.647): -3.7854413617309444
(2.803, 4.648): -3.7857066671493174
(2.803, 4.649): -3.785970392170612
(2.803, 4.65): -3.7862325403323216
(2.803, 4.651): -3.7864931151657863
(2.803, 4.652): -3.7867521201993477
(2.803, 4.653): -3.7870095589538275
(2.803, 4.654): -3.7872654349440764
(2.803, 4.655): -3.7875197516814336
(2.803, 4.656): -3.7877725126678263
(2.803, 4.657): -3.788023721404896
(2.803, 4.658): -3.788273381384464
(2.803, 4.659): -3.788521496096006
(2.803, 4.66): -3.7887680690189693
(2.803, 4.661): -3.789013103635083
(2.803, 4.662): -3.789256603412806
(2.803, 4.663): -3.7894985718179353
(2.803, 4.664): -3.7897390123113093
(2.803, 4.665): -3.7899779283497685
(2.803, 4.666): -3.7902153233810147
