Symbol: Au
Lattice_type: HexagonalClosedPacked
calculator: <asap.RGL object at 0x0x592160>
size: (28, 28, 28)
directions: []
miller: []
Lattice Constant Parameters: ['a', 'c']

Lattice Constant Results: 

Lattice constant (a,c)/Ang: Energy/eV
----------------------------------------------
(2.6, 3.0): 9.128494252615322
(2.6, 3.1): 7.148956662126184
(2.6, 3.2): 5.439461836234952
(2.6, 3.3): 3.9683684261688983
(2.6, 3.4): 2.7074514806837424
(2.6, 3.5): 1.6313919488986657
(2.6, 3.6): 0.7174197183426385
(2.6, 3.7): -0.05494771872104668
(2.6, 3.8): -0.7041081761504586
(2.6, 3.9): -1.2465426972598466
(2.6, 4.0): -1.696962861837707
(2.6, 4.1): -2.0684459610773467
(2.6, 4.2): -2.3725627661735724
(2.6, 4.3): -2.619500269724098
(2.6, 4.4): -2.818180357622609
(2.6, 4.4): -2.818180357622609
(2.6, 4.41): -2.835702775868413
(2.6, 4.42): -2.8528283653240285
(2.6, 4.43): -2.8695641959893687
(2.6, 4.44): -2.885917236115395
(2.6, 4.45): -2.9018943532690353
(2.6, 4.46): -2.917502315402033
(2.6, 4.47): -2.932747791907821
(2.6, 4.48): -2.947637354686773
(2.6, 4.49): -2.9621774791878077
(2.6, 4.5): -2.976374545454795
(2.6, 4.51): -2.9902348391762748
(2.6, 4.52): -3.003764552708159
(2.6, 4.53): -3.0169697861135805
(2.6, 4.54): -3.029856548182691
(2.6, 4.55): -3.042430757451238
(2.6, 4.56): -3.05469824321778
(2.6, 4.57): -3.066664746547539
(2.6, 4.58): -3.078335921273689
(2.6, 4.59): -3.0897173350050458
(2.6, 4.6): -3.1008144700999276
(2.6, 4.61): -3.111632724663817
(2.6, 4.62): -3.122177413526692
(2.6, 4.63): -3.1324537692126153
(2.6, 4.64): -3.1424669429098664
(2.6, 4.65): -3.152222005429087
(2.6, 4.66): -3.1617239481672477
(2.6, 4.67): -3.1709776840466812
(2.6, 4.68): -3.179988048463983
(2.6, 4.69): -3.1887598002253466
(2.6, 4.7): -3.1972976224812766
(2.6, 4.71): -3.205606123642723
(2.6, 4.72): -3.213689838307199
(2.6, 4.73): -3.2215532281695887
(2.6, 4.74): -3.2292006829221656
(2.6, 4.75): -3.2366365211591845
(2.6, 4.76): -3.243864991268915
(2.6, 4.77): -3.250890272317545
(2.6, 4.78): -3.2577164749302945
(2.6, 4.79): -3.2643476421621
(2.6, 4.8): -3.270787750369972
(2.6, 4.81): -3.277040710062331
(2.6, 4.82): -3.283110366767262
(2.6, 4.83): -3.289000501863317
(2.6, 4.84): -3.294714833427859
(2.6, 4.85): -3.300257017071187
(2.6, 4.86): -3.30563064675517
(2.6, 4.87): -3.3108392556239656
(2.6, 4.88): -3.3158863168038133
(2.6, 4.89): -3.3207752442209246
(2.6, 4.9): -3.3255093933918793
(2.6, 4.91): -3.3300920622205
(2.6, 4.92): -3.334526491780513
(2.6, 4.93): -3.338815867093849
(2.6, 4.94): -3.342963317908142
(2.6, 4.95): -3.34697191945192
(2.6, 4.96): -3.350844693198779
(2.6, 4.97): -3.3545846076164865
(2.6, 4.98): -3.3581945789118945
(2.6, 4.99): -3.361677471763416
(2.6, 5.0): -3.3650361000576337
(2.6, 5.1): -3.392371995374519
(2.6, 5.1): -3.392371995374519
(2.6, 5.2): -3.4100265018859743
(2.6, 5.3): -3.420082155007003
(2.6, 5.4): -3.4242555865064954
(2.6, 5.5): -3.423951870667037
(2.6, 5.6): -3.4203125308237623
(2.6, 5.6): -3.4203125308237623
(2.6, 5.7): -3.4142575862762925
(2.6, 5.8): -3.4065220793588034
(2.6, 5.8): -3.4065220793588034
(2.6, 5.9): -3.3976875602319185
(2.6, 5.9): -3.39768756023192
(2.6, 6.0): -3.3882090242120335
(2.6, 6.0): -3.3882090242120335
(2.61, 3.0): 8.801517437755468
(2.61, 3.1): 6.8615396453093265
(2.61, 3.2): 5.1865113033064825
(2.61, 3.3): 3.7453808024411
(2.61, 3.4): 2.5104624481528197
(2.61, 3.5): 1.4569263327589228
