Symbol: Au
Lattice_type: HexagonalClosedPacked
calculator: vasp
size: (1, 1, 1)
directions: []
miller: []
Lattice Constant Parameters: ['a', 'c']

Lattice Constant Results: 

Lattice constant (a,c)/Ang: Energy/eV
----------------------------------------------
(2.801, 4.888): -3.1615825
(2.801, 4.889): -3.161840125
(2.801, 4.89): -3.16208548
(2.801, 4.891): -3.16233394
(2.801, 4.892): -3.162583005
(2.801, 4.893): -3.162830465
(2.801, 4.894): -3.16307892
(2.801, 4.895): -3.16333369
(2.801, 4.896): -3.163574995
(2.801, 4.897): -3.163818235
(2.801, 4.898): -3.16405229
(2.801, 4.899): -3.164302535
(2.801, 4.9): -3.16453197
(2.801, 4.901): -3.16477062
(2.801, 4.902): -3.164996825
(2.801, 4.903): -3.16522462
(2.801, 4.904): -3.165461675
(2.801, 4.905): -3.165717965
(2.801, 4.906): -3.16593313
(2.801, 4.907): -3.16614633
(2.801, 4.908): -3.16636147
(2.801, 4.909): -3.16657072
(2.801, 4.91): -3.16677472
(2.801, 4.911): -3.16698644
(2.801, 4.912): -3.16719727
(2.801, 4.913): -3.16740349
(2.801, 4.914): -3.16761176
(2.801, 4.915): -3.16781508
(2.801, 4.916): -3.16804002
(2.801, 4.917): -3.168254235
(2.801, 4.918): -3.168446945
(2.801, 4.919): -3.168637695
(2.801, 4.92): -3.168828145
(2.801, 4.921): -3.16902287
(2.801, 4.922): -3.16922721
(2.801, 4.923): -3.169421995
(2.801, 4.924): -3.16960968
(2.801, 4.925): -3.169809105
(2.801, 4.926): -3.16999335
(2.801, 4.927): -3.17018547
(2.801, 4.928): -3.17038951
(2.801, 4.929): -3.170569525
(2.801, 4.93): -3.17076292
(2.801, 4.931): -3.17093656
(2.801, 4.932): -3.171115905
(2.801, 4.933): -3.1712872
(2.801, 4.934): -3.17147009
(2.801, 4.935): -3.17164016
(2.801, 4.936): -3.171808195
(2.801, 4.937): -3.17196706
(2.801, 4.938): -3.172143265
(2.801, 4.939): -3.172309525
(2.801, 4.94): -3.17248912
(2.801, 4.941): -3.17265662
(2.801, 4.942): -3.172810795
(2.801, 4.943): -3.172986165
(2.801, 4.944): -3.17313579
(2.801, 4.945): -3.17331371
(2.801, 4.946): -3.173480545
(2.801, 4.947): -3.17366443
(2.801, 4.948): -3.17382343
(2.801, 4.949): -3.173981085
(2.801, 4.95): -3.174140175
(2.801, 4.951): -3.174305235
(2.801, 4.952): -3.17445914
(2.801, 4.953): -3.174603895
(2.801, 4.954): -3.17475527
(2.801, 4.955): -3.174921485
(2.801, 4.956): -3.175079565
(2.801, 4.957): -3.1752341
(2.801, 4.958): -3.1753687
(2.801, 4.959): -3.175511985
(2.801, 4.96): -3.17565364
(2.801, 4.961): -3.175793995
(2.801, 4.962): -3.175942325
(2.801, 4.963): -3.1760895
(2.801, 4.964): -3.176232835
(2.801, 4.965): -3.176384485
(2.801, 4.966): -3.17651509
(2.801, 4.967): -3.176657005
(2.801, 4.968): -3.176782545
(2.801, 4.969): -3.176912835
(2.801, 4.97): -3.17704541
(2.801, 4.971): -3.17716245
(2.801, 4.972): -3.177281685
(2.801, 4.973): -3.177425675
(2.801, 4.974): -3.177557305
(2.801, 4.975): -3.17766709
(2.801, 4.976): -3.177797735
(2.801, 4.977): -3.177905225
(2.801, 4.978): -3.178017635
(2.801, 4.979): -3.17813728
(2.801, 4.98): -3.17825518
(2.801, 4.981): -3.178359195
(2.801, 4.982): -3.178475965
(2.801, 4.983): -3.17857316
(2.801, 4.984): -3.178668835
(2.801, 4.985): -3.17875747
(2.801, 4.986): -3.17886042
(2.801, 4.987): -3.178961875
(2.801, 4.988): -3.179053875
(2.801, 4.989): -3.1791515
(2.801, 4.99): -3.179279665
(2.801, 4.991): -3.179365265
(2.801, 4.992): -3.179462185
(2.801, 4.993): -3.179550455
(2.801, 4.994): -3.17965141
(2.801, 4.995): -3.179728795
(2.801, 4.996): -3.179822115
(2.801, 4.997): -3.17990374
(2.801, 4.998): -3.17998395
(2.801, 4.999): -3.18006972
(2.801, 5.0): -3.180148155
(2.801, 5.001): -3.180214625
(2.801, 5.002): -3.180289245
(2.801, 5.003): -3.180377815
(2.801, 5.004): -3.180470885
(2.801, 5.005): -3.180525435
(2.801, 5.006): -3.18061183
(2.801, 5.007): -3.18068397
(2.801, 5.008): -3.180747075
(2.801, 5.009): -3.18081904
(2.801, 5.01): -3.18088711
(2.801, 5.011): -3.180942565
(2.801, 5.012): -3.180999695
(2.801, 5.013): -3.181069
(2.801, 5.014): -3.181112945
(2.801, 5.015): -3.181173805
(2.801, 5.016): -3.18122706
(2.801, 5.017): -3.181293455
(2.801, 5.018): -3.18134761
(2.801, 5.019): -3.18140325
(2.801, 5.02): -3.1814481
(2.801, 5.021): -3.18148026
(2.801, 5.022): -3.18153579
(2.801, 5.023): -3.18157076
(2.801, 5.024): -3.181607095
(2.801, 5.025): -3.18164758
(2.801, 5.026): -3.181700835
(2.801, 5.027): -3.18173767
(2.801, 5.028): -3.18178041
(2.801, 5.029): -3.181812965
(2.801, 5.03): -3.18183822
(2.801, 5.031): -3.181874945
(2.801, 5.032): -3.181906055
(2.801, 5.033): -3.181881565
(2.801, 5.034): -3.18191795
(2.801, 5.035): -3.181937355
(2.801, 5.036): -3.181973645
(2.801, 5.037): -3.182017525
(2.801, 5.038): -3.182054125
(2.801, 5.039): -3.18206398
(2.801, 5.04): -3.18207021
(2.801, 5.041): -3.182075785
(2.801, 5.042): -3.182089605
(2.801, 5.043): -3.18209977
(2.801, 5.044): -3.182123275
(2.801, 5.045): -3.18212195
(2.801, 5.046): -3.18212198
(2.801, 5.047): -3.182142975
(2.801, 5.048): -3.18214371
(2.801, 5.049): -3.18214446
(2.801, 5.05): -3.1821316
(2.801, 5.051): -3.18212871
(2.801, 5.052): -3.182115995
(2.801, 5.053): -3.18216298
(2.801, 5.054): -3.182220365
(2.801, 5.055): -3.18228005
(2.801, 5.056): -3.182323385
(2.801, 5.057): -3.18237088
(2.801, 5.058): -3.18241736
(2.801, 5.059): -3.18248319
(2.801, 5.06): -3.182534625
(2.801, 5.061): -3.182587455
(2.801, 5.062): -3.18262864
(2.801, 5.063): -3.18266452
(2.801, 5.064): -3.182697935
(2.801, 5.065): -3.182729115
(2.801, 5.066): -3.182770775
(2.801, 5.067): -3.182802005
(2.801, 5.068): -3.18283395
(2.801, 5.069): -3.18286341
(2.801, 5.07): -3.182896735
(2.801, 5.071): -3.182926735
(2.801, 5.072): -3.182944645
(2.801, 5.073): -3.18296428
(2.801, 5.074): -3.182986005
(2.801, 5.075): -3.182999275
(2.801, 5.076): -3.18301481
(2.801, 5.077): -3.183019715
(2.801, 5.078): -3.18303165
